customer_id,customer_category
csid_10739,1
csid_10740,1
csid_10741,1
csid_10742,1
csid_10743,1
csid_10744,1
csid_10745,1
csid_10746,1
csid_10747,1
csid_10748,1
csid_10749,1
csid_10750,1
csid_10751,1
csid_10752,1
csid_10753,1
csid_10754,1
csid_10755,1
csid_10756,1
csid_10757,1
csid_10758,1
csid_10759,1
csid_10760,1
csid_10761,1
csid_10762,1
csid_10763,1
csid_10764,1
csid_10765,1
csid_10766,1
csid_10767,1
csid_10768,1
csid_10769,1
csid_10770,1
csid_10771,1
csid_10772,1
csid_10773,1
csid_10774,1
csid_10775,1
csid_10776,1
csid_10777,1
csid_10778,1
csid_10779,1
csid_10780,1
csid_10781,1
csid_10782,1
csid_10783,1
csid_10784,1
csid_10785,1
csid_10786,1
csid_10787,1
csid_10788,1
csid_10789,1
csid_10790,1
csid_10791,1
csid_10792,1
csid_10793,1
csid_10794,1
csid_10795,1
csid_10796,1
csid_10797,1
csid_10798,1
csid_10799,1
csid_10800,1
csid_10801,1
csid_10802,1
csid_10803,1
csid_10804,1
csid_10805,1
csid_10806,1
csid_10807,1
csid_10808,1
csid_10809,1
csid_10810,1
csid_10811,1
csid_10812,1
csid_10813,1
csid_10814,1
csid_10815,1
csid_10816,1
csid_10817,1
csid_10818,1
csid_10819,1
csid_10820,1
csid_10821,1
csid_10822,1
csid_10823,1
csid_10824,1
csid_10825,1
csid_10826,1
csid_10827,1
csid_10828,1
csid_10829,1
csid_10830,1
csid_10831,1
csid_10832,1
csid_10833,1
csid_10834,1
csid_10835,1
csid_10836,1
csid_10837,1
csid_10838,1
csid_10839,1
csid_10840,1
csid_10841,1
csid_10842,1
csid_10843,1
csid_10844,1
csid_10845,1
csid_10846,1
csid_10847,1
csid_10848,1
csid_10849,1
csid_10850,1
csid_10851,1
csid_10852,1
csid_10853,1
csid_10854,1
csid_10855,1
csid_10856,1
csid_10857,1
csid_10858,1
csid_10859,1
csid_10860,1
csid_10861,1
csid_10862,1
csid_10863,1
csid_10864,1
csid_10865,1
csid_10866,1
csid_10867,1
csid_10868,1
csid_10869,1
csid_10870,1
csid_10871,1
csid_10872,1
csid_10873,1
csid_10874,1
csid_10875,1
csid_10876,1
csid_10877,1
csid_10878,1
csid_10879,1
csid_10880,1
csid_10881,1
csid_10882,1
csid_10883,1
csid_10884,1
csid_10885,1
csid_10886,1
csid_10887,1
csid_10888,1
csid_10889,1
csid_10890,1
csid_10891,1
csid_10892,1
csid_10893,1
csid_10894,1
csid_10895,1
csid_10896,1
csid_10897,1
csid_10898,1
csid_10899,1
csid_10900,1
csid_10901,1
csid_10902,1
csid_10903,1
csid_10904,1
csid_10905,1
csid_10906,1
csid_10907,1
csid_10908,1
csid_10909,1
csid_10910,1
csid_10911,1
csid_10912,1
csid_10913,1
csid_10914,1
csid_10915,1
csid_10916,1
csid_10917,1
csid_10918,1
csid_10919,1
csid_10920,1
csid_10921,1
csid_10922,1
csid_10923,1
csid_10924,1
csid_10925,1
csid_10926,1
csid_10927,1
csid_10928,1
csid_10929,1
csid_10930,1
csid_10931,1
csid_10932,1
csid_10933,1
csid_10934,1
csid_10935,1
csid_10936,1
csid_10937,1
csid_10938,1
csid_10939,1
csid_10940,1
csid_10941,1
csid_10942,1
csid_10943,1
csid_10944,1
csid_10945,1
csid_10946,1
csid_10947,1
csid_10948,1
csid_10949,1
csid_10950,1
csid_10951,1
csid_10952,1
csid_10953,1
csid_10954,1
csid_10955,1
csid_10956,1
csid_10957,1
csid_10958,1
csid_10959,1
csid_10960,1
csid_10961,1
csid_10962,1
csid_10963,1
csid_10964,1
csid_10965,1
csid_10966,1
csid_10967,1
csid_10968,1
csid_10969,1
csid_10970,1
csid_10971,1
csid_10972,1
csid_10973,1
csid_10974,1
csid_10975,1
csid_10976,1
csid_10977,1
csid_10978,1
csid_10979,1
csid_10980,1
csid_10981,1
csid_10982,1
csid_10983,1
csid_10984,1
csid_10985,1
csid_10986,1
csid_10987,1
csid_10988,1
csid_10989,1
csid_10990,1
csid_10991,1
csid_10992,1
csid_10993,1
csid_10994,1
csid_10995,1
csid_10996,1
csid_10997,1
csid_10998,1
csid_10999,1
csid_11000,1
csid_11001,1
csid_11002,1
csid_11003,1
csid_11004,1
csid_11005,1
csid_11006,1
csid_11007,1
csid_11008,1
csid_11009,1
csid_11010,1
csid_11011,1
csid_11012,1
csid_11013,1
csid_11014,1
csid_11015,1
csid_11016,1
csid_11017,1
csid_11018,1
csid_11019,1
csid_11020,1
csid_11021,1
csid_11022,1
csid_11023,1
csid_11024,1
csid_11025,1
csid_11026,1
csid_11027,1
csid_11028,1
csid_11029,1
csid_11030,1
csid_11031,1
csid_11032,1
csid_11033,1
csid_11034,1
csid_11035,1
csid_11036,1
csid_11037,1
csid_11038,1
csid_11039,1
csid_11040,1
csid_11041,1
csid_11042,1
csid_11043,1
csid_11044,1
csid_11045,1
csid_11046,1
csid_11047,1
csid_11048,1
csid_11049,1
csid_11050,1
csid_11051,1
csid_11052,1
csid_11053,1
csid_11054,1
csid_11055,1
csid_11056,1
csid_11057,1
csid_11058,1
csid_11059,1
csid_11060,1
csid_11061,1
csid_11062,1
csid_11063,1
csid_11064,1
csid_11065,1
csid_11066,1
csid_11067,1
csid_11068,1
csid_11069,1
csid_11070,1
csid_11071,1
csid_11072,1
csid_11073,1
csid_11074,1
csid_11075,1
csid_11076,1
csid_11077,1
csid_11078,1
csid_11079,1
csid_11080,1
csid_11081,1
csid_11082,1
csid_11083,1
csid_11084,1
csid_11085,1
csid_11086,1
csid_11087,1
csid_11088,1
csid_11089,1
csid_11090,1
csid_11091,1
csid_11092,1
csid_11093,1
csid_11094,1
csid_11095,1
csid_11096,1
csid_11097,1
csid_11098,1
csid_11099,1
csid_11100,1
csid_11101,1
csid_11102,1
csid_11103,1
csid_11104,1
csid_11105,1
csid_11106,1
csid_11107,1
csid_11108,1
csid_11109,1
csid_11110,1
csid_11111,1
csid_11112,1
csid_11113,1
csid_11114,1
csid_11115,1
csid_11116,1
csid_11117,1
csid_11118,1
csid_11119,1
csid_11120,1
csid_11121,1
csid_11122,1
csid_11123,1
csid_11124,1
csid_11125,1
csid_11126,1
csid_11127,1
csid_11128,1
csid_11129,1
csid_11130,1
csid_11131,1
csid_11132,1
csid_11133,1
csid_11134,1
csid_11135,1
csid_11136,1
