,customer_id,customer_category
0,csid_10739,0
1,csid_10740,0
2,csid_10741,0
3,csid_10742,0
4,csid_10743,0
5,csid_10744,0
6,csid_10745,0
7,csid_10746,0
8,csid_10747,0
9,csid_10748,0
10,csid_10749,0
11,csid_10750,0
12,csid_10751,0
13,csid_10752,0
14,csid_10753,0
15,csid_10754,0
16,csid_10755,0
17,csid_10756,0
18,csid_10757,0
19,csid_10758,0
20,csid_10759,0
21,csid_10760,0
22,csid_10761,1
23,csid_10762,0
24,csid_10763,0
25,csid_10764,0
26,csid_10765,0
27,csid_10766,0
28,csid_10767,0
29,csid_10768,0
30,csid_10769,0
31,csid_10770,0
32,csid_10771,0
33,csid_10772,0
34,csid_10773,0
35,csid_10774,0
36,csid_10775,0
37,csid_10776,0
38,csid_10777,0
39,csid_10778,0
40,csid_10779,0
41,csid_10780,0
42,csid_10781,0
43,csid_10782,0
44,csid_10783,0
45,csid_10784,0
46,csid_10785,0
47,csid_10786,0
48,csid_10787,0
49,csid_10788,0
50,csid_10789,0
51,csid_10790,0
52,csid_10791,0
53,csid_10792,0
54,csid_10793,0
55,csid_10794,0
56,csid_10795,0
57,csid_10796,0
58,csid_10797,0
59,csid_10798,0
60,csid_10799,0
61,csid_10800,0
62,csid_10801,0
63,csid_10802,0
64,csid_10803,0
65,csid_10804,0
66,csid_10805,0
67,csid_10806,0
68,csid_10807,0
69,csid_10808,0
70,csid_10809,0
71,csid_10810,0
72,csid_10811,0
73,csid_10812,0
74,csid_10813,0
75,csid_10814,0
76,csid_10815,0
77,csid_10816,1
78,csid_10817,0
79,csid_10818,0
80,csid_10819,0
81,csid_10820,0
82,csid_10821,0
83,csid_10822,0
84,csid_10823,1
85,csid_10824,0
86,csid_10825,0
87,csid_10826,0
88,csid_10827,0
89,csid_10828,0
90,csid_10829,0
91,csid_10830,0
92,csid_10831,0
93,csid_10832,1
94,csid_10833,0
95,csid_10834,0
96,csid_10835,0
97,csid_10836,0
98,csid_10837,0
99,csid_10838,0
100,csid_10839,0
101,csid_10840,0
102,csid_10841,0
103,csid_10842,0
104,csid_10843,0
105,csid_10844,0
106,csid_10845,0
107,csid_10846,0
108,csid_10847,0
109,csid_10848,0
